file_name,QuestionText,answer,confidence
City Bus.wav,How many people can be heard talking?,one,Maybe
City Bus.wav,How many people can be heard talking?,one,Yes
City Bus.wav,How many people can be heard talking?,one,Yes
Pouring Into Glass.wav,How many drinks are poured?,many,Yes
Pouring Into Glass.wav,How many drinks are poured?,three,Yes
Pouring Into Glass.wav,How many drinks are poured?,three,Yes
kipgeluid.wav,how many chickens are there?,two,Yes
kipgeluid.wav,how many chickens are there?,two,Yes
kipgeluid.wav,how many chickens are there?,six,Maybe
FlushToilet.wav,How many times is the toilet flushed?,twenty,Maybe
FlushToilet.wav,How many times is the toilet flushed?,once,Yes
FlushToilet.wav,How many times is the toilet flushed?,one,Yes
WinterWren1.wav,How many words does the man speak?,two,Yes
WinterWren1.wav,How many words does the man speak?,two,Yes
WinterWren1.wav,How many words does the man speak?,two,Yes
container port 01.wav,How many bangs are there?,one,Yes
container port 01.wav,How many bangs are there?,one,Yes
container port 01.wav,How many bangs are there?,one,Maybe
Traffic on a Busy Street.wav,How many different transportation vehicles are in motion?,nine,Maybe
Traffic on a Busy Street.wav,How many different transportation vehicles are in motion?,six,Yes
Traffic on a Busy Street.wav,How many different transportation vehicles are in motion?,eight,Yes
Faucet Running.wav,How many times is there a dull thud?,zero,Maybe
Faucet Running.wav,How many times is there a dull thud?,zero,Yes
Faucet Running.wav,How many times is there a dull thud?,one,Yes
uguisbari.wav,How many steps does the person make?,twenty,Yes
uguisbari.wav,How many steps does the person make?,twentytwo,Maybe
uguisbari.wav,How many steps does the person make?,ten,Maybe
button_drop.wav,How many times is the object dropped?,six,Yes
button_drop.wav,How many times is the object dropped?,shooting,Yes
button_drop.wav,How many times is the object dropped?,six,Yes
thunder04.wav,How long does the thunder echo?,long,Maybe
thunder04.wav,How long does the thunder echo?,fourteen,Maybe
thunder04.wav,How long does the thunder echo?,short,Yes
Rio Cadi.wav,How fast is the water moving?,rushing,Yes
Rio Cadi.wav,How fast is the water moving?,fast,Maybe
Rio Cadi.wav,How fast is the water moving?,rapidly,Yes
LoneCricketInFallBasement.wav,How many chirps can be heard?,thirty,Maybe
LoneCricketInFallBasement.wav,How many chirps can be heard?,twenty,Maybe
LoneCricketInFallBasement.wav,How many chirps can be heard?,twentynine,Yes
footsteps woodland.wav,how many footsteps are there?,fifty,No
footsteps woodland.wav,how many footsteps are there?,fourty,Maybe
footsteps woodland.wav,how many footsteps are there?,ten,Maybe
Crinklng and opening packet of potato chips.wav,How many times does the putty fart?,six,Yes
Crinklng and opening packet of potato chips.wav,How many times does the putty fart?,one,Maybe
Crinklng and opening packet of potato chips.wav,How many times does the putty fart?,one,Yes
salle.spectacle.remplie.wav,How many people are talking?,eight,No
salle.spectacle.remplie.wav,How many people are talking?,many,Yes
salle.spectacle.remplie.wav,How many people are talking?,many,Maybe
Glass Bottles rattle and chink.wav,How many people are moving things?,one,Maybe
Glass Bottles rattle and chink.wav,How many people are moving things?,one,Maybe
Glass Bottles rattle and chink.wav,How many people are moving things?,two,Yes
fdv_machine_a_ecrire.wav,how many dings are heard?,two,Yes
fdv_machine_a_ecrire.wav,how many dings are heard?,two,Yes
fdv_machine_a_ecrire.wav,how many dings are heard?,one,Maybe
steps through the forest - birds sing.wav,How many steps can be heard?,seventeen,Maybe
steps through the forest - birds sing.wav,How many steps can be heard?,thirty,Maybe
steps through the forest - birds sing.wav,How many steps can be heard?,thirty,Maybe
"WASHING,machine.wav",how often does the machine in the background make noise?,twice,Yes
"WASHING,machine.wav",how often does the machine in the background make noise?,two,Maybe
"WASHING,machine.wav",how often does the machine in the background make noise?,two,Yes
Show Opener - LiftOff.wav,How many voices are heard?,three,Maybe
Show Opener - LiftOff.wav,How many voices are heard?,five,Maybe
Show Opener - LiftOff.wav,How many voices are heard?,five,Maybe
Gulls in Park next to Barce.wav,how often do the birds make noises?,always,Yes
Gulls in Park next to Barce.wav,how often do the birds make noises?,constantly,Yes
Gulls in Park next to Barce.wav,how often do the birds make noises?,always,Maybe
"India Divali Celebration Night (Fireworks, Voices, Traffic).wav",how many shots are heard?,five,No
"India Divali Celebration Night (Fireworks, Voices, Traffic).wav",how many shots are heard?,two,Maybe
"India Divali Celebration Night (Fireworks, Voices, Traffic).wav",how many shots are heard?,six,Yes
Greeting Card Foley.wav,how many times does the item flap?,fourteen,Maybe
Greeting Card Foley.wav,how many times does the item flap?,sixteen,Maybe
Greeting Card Foley.wav,how many times does the item flap?,nineteen,Maybe
Summer waves at Charmouth beach in Dorset.wav,how many waves are there?,six,Yes
Summer waves at Charmouth beach in Dorset.wav,how many waves are there?,three,No
Summer waves at Charmouth beach in Dorset.wav,how many waves are there?,seven,Maybe
moucho-I.wav,How many animals are making noise?,two,Maybe
moucho-I.wav,How many animals are making noise?,one,Yes
moucho-I.wav,How many animals are making noise?,three,Yes
Vocoded death threat.wav,How many times does the sound occur?,two,Yes
Vocoded death threat.wav,How many times does the sound occur?,two,Yes
Vocoded death threat.wav,How many times does the sound occur?,two,Yes
Whistling antarctic blizzard.wav,how many times is the tap heard from the large metal piece?,eight,No
Whistling antarctic blizzard.wav,how many times is the tap heard from the large metal piece?,twelve,No
Whistling antarctic blizzard.wav,how many times is the tap heard from the large metal piece?,folding,No
lackey070329_11_52_am_jackhammer.wav,how many times does the tool turn off and on again?,four,Yes
lackey070329_11_52_am_jackhammer.wav,how many times does the tool turn off and on again?,four,Yes
lackey070329_11_52_am_jackhammer.wav,how many times does the tool turn off and on again?,four,Yes
Strong Wind through leaves.wav,How many times does the sound get louder?,three,Yes
Strong Wind through leaves.wav,How many times does the sound get louder?,three,Yes
Strong Wind through leaves.wav,How many times does the sound get louder?,three,Maybe
door-knock-open-close-wooden_close.wav,How many times is the door being knocked on?,nine,Yes
door-knock-open-close-wooden_close.wav,How many times is the door being knocked on?,thirtyfive,Maybe
door-knock-open-close-wooden_close.wav,How many times is the door being knocked on?,fifty,No
Pet Store Ambience.wav,How many times is the creaking sound made?,once,Maybe
Pet Store Ambience.wav,How many times is the creaking sound made?,two,Maybe
Pet Store Ambience.wav,How many times is the creaking sound made?,none,Yes
driving on Mcgalliard.wav,How many vehicles pass by?,one,Yes
driving on Mcgalliard.wav,How many vehicles pass by?,fourteen,Maybe
driving on Mcgalliard.wav,How many vehicles pass by?,two,Maybe
metal door creaking loud2 (borQue).wav,How many separate creaking noises are made?,more,Maybe
metal door creaking loud2 (borQue).wav,How many separate creaking noises are made?,four,Yes
metal door creaking loud2 (borQue).wav,How many separate creaking noises are made?,four,Yes
birds-Udaipur-Saheliyon-Ki-Bari.wav,How many birds are there?,many,Maybe
birds-Udaipur-Saheliyon-Ki-Bari.wav,How many birds are there?,three,Maybe
birds-Udaipur-Saheliyon-Ki-Bari.wav,How many birds are there?,four,Yes
Tortured Apple 01.wav,How many times is the cutting sound made?,three,No
Tortured Apple 01.wav,How many times is the cutting sound made?,seven,Yes
Tortured Apple 01.wav,How many times is the cutting sound made?,two,Yes
latenighttraffic.wav,How many different cars are driving past?,five,No
latenighttraffic.wav,How many different cars are driving past?,two,Maybe
latenighttraffic.wav,How many different cars are driving past?,five,Maybe
latenighttraffic.wav,How many times does this recording have static?,two,Maybe
latenighttraffic.wav,How many times does this recording have static?,three,Yes
latenighttraffic.wav,How many times does this recording have static?,zero,Yes
Printing Press 4.wav,How many repetitions are there of this cyclical noise?,fifteen,Yes
Printing Press 4.wav,How many repetitions are there of this cyclical noise?,twenty,Yes
Printing Press 4.wav,How many repetitions are there of this cyclical noise?,many,Maybe
Hiss of a Tilley pressurised paraffin (kerosene) lamp.wav,How many times does the audio crack?,zero,Maybe
Hiss of a Tilley pressurised paraffin (kerosene) lamp.wav,How many times does the audio crack?,none,Yes
Hiss of a Tilley pressurised paraffin (kerosene) lamp.wav,How many times does the audio crack?,zero,Maybe
Hiss of a Tilley pressurised paraffin (kerosene) lamp.wav,How many times does the noise stop and start?,one,Maybe
Hiss of a Tilley pressurised paraffin (kerosene) lamp.wav,How many times does the noise stop and start?,none,Yes
Hiss of a Tilley pressurised paraffin (kerosene) lamp.wav,How many times does the noise stop and start?,zero,Yes
SFX- Lavadora Vieja - Hector Bakero.wav,How many times is the sound repeated?,twenty,Maybe
SFX- Lavadora Vieja - Hector Bakero.wav,How many times is the sound repeated?,twentyone,Maybe
SFX- Lavadora Vieja - Hector Bakero.wav,How many times is the sound repeated?,twentyfive,Maybe
"Julian&#39;s Door - open and close, hinge only.wav",how many times does the squeak sound occur?,ten,Maybe
"Julian&#39;s Door - open and close, hinge only.wav",how many times does the squeak sound occur?,five,Yes
"Julian&#39;s Door - open and close, hinge only.wav",how many times does the squeak sound occur?,five,Maybe
Water Pour.wav,How many water taps are open ?,four,No
Water Pour.wav,How many water taps are open ?,three,Maybe
Water Pour.wav,How many water taps are open ?,two,Maybe
Pencil 1.wav,How many times can the sound of something dropping and hitting a hard surface be heard?,five,Maybe
Pencil 1.wav,How many times can the sound of something dropping and hitting a hard surface be heard?,four,Maybe
Pencil 1.wav,How many times can the sound of something dropping and hitting a hard surface be heard?,four,Maybe
Puzzle Pieces Foley Mvmt Wood Slide Up Down 01.wav,how many times is a tap heard?,six,Yes
Puzzle Pieces Foley Mvmt Wood Slide Up Down 01.wav,how many times is a tap heard?,five,Maybe
Puzzle Pieces Foley Mvmt Wood Slide Up Down 01.wav,how many times is a tap heard?,three,Maybe
Footsteps_Sneakers_Wet Sidewalk-01.R.wav,How many steps can be heard?,thirty,Maybe
Footsteps_Sneakers_Wet Sidewalk-01.R.wav,How many steps can be heard?,thirty,Maybe
Footsteps_Sneakers_Wet Sidewalk-01.R.wav,How many steps can be heard?,ten,Yes
cannons from Kronborg castle.wav,how many pounds are there?,bird,Yes
cannons from Kronborg castle.wav,how many pounds are there?,three,Yes
cannons from Kronborg castle.wav,how many pounds are there?,four,Maybe
Metal_Workshop_2.wav,how many times do things collide with other things?,once,Maybe
Metal_Workshop_2.wav,how many times do things collide with other things?,two,Maybe
Metal_Workshop_2.wav,how many times do things collide with other things?,two,Yes
Lakeside.wav,How many birds are there?,twenty,Yes
Lakeside.wav,How many birds are there?,five,Maybe
Lakeside.wav,How many birds are there?,two,Yes
trenecito_maqueta.wav,How many people are heard in conversation?,two,Yes
trenecito_maqueta.wav,How many people are heard in conversation?,two,Maybe
trenecito_maqueta.wav,How many people are heard in conversation?,two,No
Coyote -crickets &amp; dogs in a pine forest mid night .wav,How many different species are making noises ?,two,Yes
Coyote -crickets &amp; dogs in a pine forest mid night .wav,How many different species are making noises ?,three,Maybe
Coyote -crickets &amp; dogs in a pine forest mid night .wav,How many different species are making noises ?,two,Yes
traffic_light_night.wav,How many clicks are there?,twentyfour,Yes
traffic_light_night.wav,How many clicks are there?,twenty,No
traffic_light_night.wav,How many clicks are there?,twentythree,Yes
kricket 1.wav,How many vehicles are heard passing by?,one,Yes
kricket 1.wav,How many vehicles are heard passing by?,one,Yes
kricket 1.wav,How many vehicles are heard passing by?,two,Maybe
Oven 01.wav,How many times was a switch used?,twice,Yes
Oven 01.wav,How many times was a switch used?,three,Maybe
Oven 01.wav,How many times was a switch used?,two,Yes
chemical_wood.wav,How many times does the noise stop and start?,three,Yes
chemical_wood.wav,How many times does the noise stop and start?,four,Yes
chemical_wood.wav,How many times does the noise stop and start?,four,Yes
Long Fuzz.wav,How many different people are audible in this sound clip?,waves,Yes
Long Fuzz.wav,How many different people are audible in this sound clip?,one,Maybe
Long Fuzz.wav,How many different people are audible in this sound clip?,four,Maybe
Long Fuzz.wav,How many pauses are there between the 'breathing'?,three,Yes
Long Fuzz.wav,How many pauses are there between the 'breathing'?,four,Yes
Long Fuzz.wav,How many pauses are there between the 'breathing'?,three,Yes
Spanish pinball machine in bar.wav,How many times does the tapping noise repeat itself?,eleven,Maybe
Spanish pinball machine in bar.wav,How many times does the tapping noise repeat itself?,twelve,Maybe
Spanish pinball machine in bar.wav,How many times does the tapping noise repeat itself?,fifteen,Yes
20091225.rain.01.wav,How loud is the rain?,medium,Yes
20091225.rain.01.wav,How loud is the rain?,loud,Yes
20091225.rain.01.wav,How loud is the rain?,heavy,Maybe
20091225.rain.01.wav,How many water fountains are there ?,one,Maybe
20091225.rain.01.wav,How many water fountains are there ?,one,Maybe
20091225.rain.01.wav,How many water fountains are there ?,six,Maybe
nxSample018.wav,How many times does the lightning strike ?,four,Maybe
nxSample018.wav,How many times does the lightning strike ?,twentytwo,Yes
nxSample018.wav,How many times does the lightning strike ?,five,Maybe
CountrySideSummerEvening.wav,How many dogs are barking?,two,Yes
CountrySideSummerEvening.wav,How many dogs are barking?,one,Yes
CountrySideSummerEvening.wav,How many dogs are barking?,two,Maybe
Wind moderate strong JPN.wav,How many fighter jets are flying ?,one,Maybe
Wind moderate strong JPN.wav,How many fighter jets are flying ?,one,Maybe
Wind moderate strong JPN.wav,How many fighter jets are flying ?,four,No
Train_slow_on_cl_yard.wav,How many times is the machine fired?,once,No
Train_slow_on_cl_yard.wav,How many times is the machine fired?,ten,Maybe
Train_slow_on_cl_yard.wav,How many times is the machine fired?,one,No
Blackcap.wav,How many different birds can be heard?,two,No
Blackcap.wav,How many different birds can be heard?,five,Maybe
Blackcap.wav,How many different birds can be heard?,nine,Maybe
Alexanderplatz talking shouting people.wav,How many times does the man yell?,one,Maybe
Alexanderplatz talking shouting people.wav,How many times does the man yell?,ten,Maybe
Alexanderplatz talking shouting people.wav,How many times does the man yell?,one,Yes
lets_go_to_see_it.wav,How many cars drive by?,one,Maybe
lets_go_to_see_it.wav,How many cars drive by?,one,Yes
lets_go_to_see_it.wav,How many cars drive by?,one,Yes
windy marina.wav,How many clicks are there?,two,Maybe
windy marina.wav,How many clicks are there?,eight,Maybe
windy marina.wav,How many clicks are there?,one,Maybe
arriving_montpellier_by_train.wav,How many different voices can be heard?,five,Maybe
arriving_montpellier_by_train.wav,How many different voices can be heard?,four,Yes
arriving_montpellier_by_train.wav,How many different voices can be heard?,four,Yes
arriving_montpellier_by_train.wav,How many times can a female voice be heard?,four,Maybe
arriving_montpellier_by_train.wav,How many times can a female voice be heard?,three,Maybe
arriving_montpellier_by_train.wav,How many times can a female voice be heard?,four,Maybe
0804_094043 metal grinding or drilling 30secs.wav,How fast does the tool work?,fast,Yes
0804_094043 metal grinding or drilling 30secs.wav,How fast does the tool work?,fast,Yes
0804_094043 metal grinding or drilling 30secs.wav,How fast does the tool work?,fast,Yes
bangalore_zug_steht.wav,does the machine stay steady without variations in how loud it is?,yes,yes
bangalore_zug_steht.wav,does the machine stay steady without variations in how loud it is?,yes,yes
bangalore_zug_steht.wav,does the machine stay steady without variations in how loud it is?,yes,yes
080101-042_pasa el tren.wav,How many people are talking?,two,Yes
080101-042_pasa el tren.wav,How many people are talking?,two,Maybe
080101-042_pasa el tren.wav,How many people are talking?,two,Maybe
BirdCallBackyard2016Long.wav,How many loud birds are there?,two,Yes
BirdCallBackyard2016Long.wav,How many loud birds are there?,three,Maybe
BirdCallBackyard2016Long.wav,How many loud birds are there?,two,Maybe
Grinder.wav,How many times does the alarm clock go off?,five,Yes
Grinder.wav,How many times does the alarm clock go off?,three,Yes
Grinder.wav,How many times does the alarm clock go off?,five,Yes
birds_serres_Auteuil.wav,How many different birds are chirping?,four,Yes
birds_serres_Auteuil.wav,How many different birds are chirping?,three,No
birds_serres_Auteuil.wav,How many different birds are chirping?,five,No
Slowly Walking Downhill on Dry Leaves.wav,How fast is the person moving?,slow,Maybe
Slowly Walking Downhill on Dry Leaves.wav,How fast is the person moving?,slowly,Yes
Slowly Walking Downhill on Dry Leaves.wav,How fast is the person moving?,slow,Yes
Gazpoile_long.wav,How many times is an object being jostled?,once,Maybe
Gazpoile_long.wav,How many times is an object being jostled?,one,No
Gazpoile_long.wav,How many times is an object being jostled?,once,Yes
walking up a wooded hill.wav,How many footsteps are there?,multiple,Maybe
walking up a wooded hill.wav,How many footsteps are there?,thirty,Maybe
walking up a wooded hill.wav,How many footsteps are there?,thirty,No
Dribbling water.wav,How many times is the water turned on then off?,one,Yes
Dribbling water.wav,How many times is the water turned on then off?,once,Maybe
Dribbling water.wav,How many times is the water turned on then off?,five,Maybe
SYnth_NoisesAX9.wav,How many different tones can be heard?,eight,Maybe
SYnth_NoisesAX9.wav,How many different tones can be heard?,two,No
SYnth_NoisesAX9.wav,How many different tones can be heard?,ten,No
Plane flying above.wav,How many birds are there?,five,Maybe
Plane flying above.wav,How many birds are there?,several,Yes
Plane flying above.wav,How many birds are there?,two,Maybe
20060426.marsh.crikets.day.stereo.02.wav,How many different kinds of birds sing?,three,Yes
20060426.marsh.crikets.day.stereo.02.wav,How many different kinds of birds sing?,two,Yes
20060426.marsh.crikets.day.stereo.02.wav,How many different kinds of birds sing?,two,Maybe
San Simeon Beach at Midnight 1.wav,How many times does the water crash?,twelve,Maybe
San Simeon Beach at Midnight 1.wav,How many times does the water crash?,three,Maybe
San Simeon Beach at Midnight 1.wav,How many times does the water crash?,two,Maybe
120720loudestthunder.wav,How is the weather?,thunder,Yes
120720loudestthunder.wav,How is the weather?,stormy,Yes
120720loudestthunder.wav,How is the weather?,thunderstorm,Yes
20161126_rain.74.wav,How many people can be heard talking?,machine,Maybe
20161126_rain.74.wav,How many people can be heard talking?,one,Maybe
20161126_rain.74.wav,How many people can be heard talking?,zero,Maybe
bird.wav,How many birds are there?,one,Yes
bird.wav,How many birds are there?,zero,Yes
bird.wav,How many birds are there?,two,Maybe
"Weight machine, gas resistance.wav",How many things are making noise?,three,Yes
"Weight machine, gas resistance.wav",How many things are making noise?,machine,Yes
"Weight machine, gas resistance.wav",How many things are making noise?,six,Maybe
"Weight machine, gas resistance.wav",How many times does the drill stop?,one,Yes
"Weight machine, gas resistance.wav",How many times does the drill stop?,seven,No
"Weight machine, gas resistance.wav",How many times does the drill stop?,ten,No
India Streets Bangalore City (Tuktuk Ride).wav,how many beeps take place?,twentyone,Maybe
India Streets Bangalore City (Tuktuk Ride).wav,how many beeps take place?,nine,No
India Streets Bangalore City (Tuktuk Ride).wav,how many beeps take place?,twenty,Maybe
Pardelas.wav,How loud is this noise?,louder,Yes
Pardelas.wav,How loud is this noise?,loud,Yes
Pardelas.wav,How loud is this noise?,very,Maybe
Rolling Wind - looping.wav,How many times did a vehicle pass by in the tunnel ?,four,Yes
Rolling Wind - looping.wav,How many times did a vehicle pass by in the tunnel ?,three,Maybe
Rolling Wind - looping.wav,How many times did a vehicle pass by in the tunnel ?,three,Yes
140912-King-Harry-ferry-setting-off.wav,how many bangs are there?,thirty,Maybe
140912-King-Harry-ferry-setting-off.wav,how many bangs are there?,many,Maybe
140912-King-Harry-ferry-setting-off.wav,how many bangs are there?,fifteen,Yes
greece_naxos_white_noise_3.wav,How many dogs are barking?,two,Maybe
greece_naxos_white_noise_3.wav,How many dogs are barking?,three,Maybe
greece_naxos_white_noise_3.wav,How many dogs are barking?,two,Maybe
Signal of the police car.wav,How many times is the noise repeated in the clip?,eight,Yes
Signal of the police car.wav,How many times is the noise repeated in the clip?,firetruck,Yes
Signal of the police car.wav,How many times is the noise repeated in the clip?,eight,Maybe
The Big Circle.wav,how many times does a car horn sound?,two,Maybe
The Big Circle.wav,how many times does a car horn sound?,three,No
The Big Circle.wav,how many times does a car horn sound?,once,Yes
Prep Rally.wav,How many songs can be heard playing?,one,Yes
Prep Rally.wav,How many songs can be heard playing?,one,Yes
Prep Rally.wav,How many songs can be heard playing?,one,Yes
20130406_tourists.06.wav,How many times do people speak over one another?,seven,Maybe
20130406_tourists.06.wav,How many times do people speak over one another?,five,Yes
20130406_tourists.06.wav,How many times do people speak over one another?,four,Maybe
Week Two Task.wav,How many people are chattering?,two,Maybe
Week Two Task.wav,How many people are chattering?,two,Yes
Week Two Task.wav,How many people are chattering?,two,Maybe
Wind-sea 03-091007.wav,How many different vehicles can be heard?,five,Maybe
Wind-sea 03-091007.wav,How many different vehicles can be heard?,one,Yes
Wind-sea 03-091007.wav,How many different vehicles can be heard?,two,Yes
around the yellow Ferrari pt. 1.wav,How many different cars are on the road?,six,No
around the yellow Ferrari pt. 1.wav,How many different cars are on the road?,six,Maybe
around the yellow Ferrari pt. 1.wav,How many different cars are on the road?,vehicle,Yes
Marcher_feuilles.wav,How many hand saw cutting strokes does this person make to cut the wood ?,none,No
Marcher_feuilles.wav,How many hand saw cutting strokes does this person make to cut the wood ?,twentythree,Maybe
Marcher_feuilles.wav,How many hand saw cutting strokes does this person make to cut the wood ?,none,Yes
dull metal.wav,How many taps are heard?,thirtyseven,Yes
dull metal.wav,How many taps are heard?,forty,No
dull metal.wav,How many taps are heard?,forty,Maybe
birds_long.wav,How does the animals making this noise traverse their environment?,fly,Yes
birds_long.wav,How does the animals making this noise traverse their environment?,bird,Yes
birds_long.wav,How does the animals making this noise traverse their environment?,flying,Yes
20060810.peters.clock.02.wav,How many ticks are there?,more,Yes
20060810.peters.clock.02.wav,How many ticks are there?,ten,Maybe
20060810.peters.clock.02.wav,How many ticks are there?,seventythree,Maybe
Class 66 At Aliwal Lane Crossing Whittlesea.wav,How many vehicles are there?,one,Maybe
Class 66 At Aliwal Lane Crossing Whittlesea.wav,How many vehicles are there?,one,Maybe
Class 66 At Aliwal Lane Crossing Whittlesea.wav,How many vehicles are there?,one,Maybe
Ambience birds.wav,How many legs do these animals have?,two,Yes
Ambience birds.wav,How many legs do these animals have?,two,No
Ambience birds.wav,How many legs do these animals have?,two,Maybe
Ambience birds.wav,How many times do these animals make a sound?,hundred,Maybe
Ambience birds.wav,How many times do these animals make a sound?,many,Maybe
Ambience birds.wav,How many times do these animals make a sound?,ten,Maybe
Old Shed Keys.wav,How many attempts does the person make to unlock the door?,five,Maybe
Old Shed Keys.wav,How many attempts does the person make to unlock the door?,four,Yes
Old Shed Keys.wav,How many attempts does the person make to unlock the door?,nine,No
je_creakydoor.wav,How many times does the door open?,three,Maybe
je_creakydoor.wav,How many times does the door open?,five,Maybe
je_creakydoor.wav,How many times does the door open?,three,Maybe
je_creakydoor.wav,How many times is the car trunk being slammed sut ?,three,Maybe
je_creakydoor.wav,How many times is the car trunk being slammed sut ?,three,Yes
je_creakydoor.wav,How many times is the car trunk being slammed sut ?,two,Yes
R09_0013 man singing outside mdo bolhao.wav,How many instruments accompany the singer?,one,Maybe
R09_0013 man singing outside mdo bolhao.wav,How many instruments accompany the singer?,one,Yes
R09_0013 man singing outside mdo bolhao.wav,How many instruments accompany the singer?,one,Yes
Canarian_Bird_In_Cage_Singing_1.wav,How many different types of chirping are heard?,three,Maybe
Canarian_Bird_In_Cage_Singing_1.wav,How many different types of chirping are heard?,five,Maybe
Canarian_Bird_In_Cage_Singing_1.wav,How many different types of chirping are heard?,three,Yes
Cat purring quietly.wav,how many times does the cat make a purring sound?,seven,Yes
Cat purring quietly.wav,how many times does the cat make a purring sound?,three,Maybe
Cat purring quietly.wav,how many times does the cat make a purring sound?,three,No
Montage Maschiene 03.wav,How many copies did the copy machine print?,eleven,Yes
Montage Maschiene 03.wav,How many copies did the copy machine print?,eleven,Maybe
Montage Maschiene 03.wav,How many copies did the copy machine print?,eleven,Yes
Hwy84Westbound2A.wav,How many vehicles are heard passing through the tunnel ?,seven,Yes
Hwy84Westbound2A.wav,How many vehicles are heard passing through the tunnel ?,six,Maybe
Hwy84Westbound2A.wav,How many vehicles are heard passing through the tunnel ?,seven,Yes
